Product_ID,Product_Name,Category,Price,Units_Sold,Revenue,Rating,Return_Rate,Seller_Name,Order_ID,Order_Date
Product_1,Max Product_1,Toys,358.65,983,352552.95,3.63,0.16,Seller_B,1,10-07-2023
Product_2,Pro Product_2,Home & Kitchen,248,79,19592,1.23,0.2,Seller_E,2,03-12-2023
Product_3,Eco Product_3,Automotive,148.12,206,30512.72,2.09,0.05,Seller_D,3,27-03-2023
Product_4,Super Product_4,Electronics,15.76,585,9219.6,3.69,0.05,Seller_D,4,14-05-2023
Product_5,Ultra Product_5,Home & Kitchen,20.84,401,8356.84,2.01,0.15,Seller_B,5,20-01-2023
Product_6,Ultra Product_6,Home & Kitchen,384.86,298,114688.28,4.03,0.01,Seller_A,6,19-03-2023
Product_7,Max Product_7,Automotive,373.36,851,317729.36,2.4,0.06,Seller_E,7,06-05-2023
Product_8,Max Product_8,Electronics,38.4,839,32217.6,1.15,0.24,Seller_C,8,14-05-2023
Product_9,Eco Product_9,Clothing,141.06,467,65875.02,3.25,0.27,Seller_E,9,20-10-2023
Product_10,Max Product_10,Home & Kitchen,170.67,953,162648.51,3.19,0.27,Seller_A,10,21-12-2023
Product_11,Max Product_11,Books,16.68,434,7239.12,4.67,0.08,Seller_A,11,31-08-2023
Product_12,Pro Product_12,Books,93.58,852,79730.16,3.51,0.16,Seller_E,12,11-11-2023
Product_13,Ultra Product_13,Clothing,158.33,458,72515.14,4.26,0.15,Seller_A,13,02-08-2023
Product_14,Super Product_14,Clothing,219.38,312,68446.56,3.1,0.21,Seller_D,14,30-04-2023
Product_15,Ultra Product_15,Toys,316.07,672,212399.04,2.58,0.25,Seller_A,15,08-02-2023
Product_16,Ultra Product_16,Automotive,214.53,863,185139.39,3.39,0.23,Seller_B,16,25-02-2023
Product_17,Super Product_17,Beauty,459.01,258,118424.58,2.77,0.12,Seller_E,17,09-01-2023
Product_18,Pro Product_18,Beauty,279.53,552,154300.56,1.26,0.06,Seller_C,18,18-11-2023
Product_19,Eco Product_19,Books,280.92,21,5899.32,3.51,0.19,Seller_A,19,15-02-2023
Product_20,Super Product_20,Sports,322.92,55,17760.6,1.05,0.07,Seller_B,20,01-05-2023
Product_21,Super Product_21,Clothing,438.14,883,386877.62,3.65,0.12,Seller_B,21,08-07-2023
Product_22,Eco Product_22,Books,288.88,698,201638.24,3.43,0.16,Seller_E,22,17-11-2023
Product_23,Eco Product_23,Books,142.44,213,30339.72,4.84,0.28,Seller_B,23,10-11-2023
Product_24,Super Product_24,Clothing,150.08,581,87196.48,4.25,0.18,Seller_B,24,14-09-2023
Product_25,Eco Product_25,Clothing,46.12,944,43537.28,1.57,0.02,Seller_B,25,13-05-2023
Product_26,Pro Product_26,Beauty,454.86,611,277919.46,1.53,0.24,Seller_D,26,27-05-2023
Product_27,Super Product_27,Beauty,281.27,201,56535.27,2.15,0.26,Seller_E,27,04-12-2023
Product_28,Ultra Product_28,Books,388.47,488,189573.36,4.93,0.26,Seller_E,28,04-02-2023
Product_29,Max Product_29,Toys,108.75,260,28275,3.36,0.02,Seller_C,29,24-11-2023
Product_30,Max Product_30,Home & Kitchen,493.53,229,113018.37,4.08,0.27,Seller_A,30,28-09-2023
Product_31,Super Product_31,Beauty,186.94,877,163946.38,4.22,0.18,Seller_D,31,27-02-2023
Product_32,Ultra Product_32,Beauty,286.51,533,152709.83,1.83,0.05,Seller_D,32,12-11-2023
Product_33,Super Product_33,Books,189.34,421,79712.14,4,0.19,Seller_A,33,02-10-2023
Product_34,Eco Product_34,Beauty,361.88,291,105307.08,4.14,0.08,Seller_D,34,18-12-2023
Product_35,Eco Product_35,Home & Kitchen,117.23,153,17936.19,1.13,0.12,Seller_C,35,08-12-2023
Product_36,Eco Product_36,Automotive,307.68,660,203068.8,2.03,0.11,Seller_D,36,13-06-2023
Product_37,Max Product_37,Books,6.91,413,2853.83,2.92,0.01,Seller_E,37,17-10-2023
Product_38,Pro Product_38,Home & Kitchen,388.47,296,114987.12,2.27,0.03,Seller_B,38,08-11-2023
Product_39,Ultra Product_39,Home & Kitchen,365.68,348,127256.64,1.21,0.1,Seller_D,39,14-07-2023
Product_40,Eco Product_40,Books,170.87,799,136525.13,4.73,0.04,Seller_A,40,08-06-2023
Product_41,Eco Product_41,Beauty,352.22,584,205696.48,2.36,0.13,Seller_A,41,28-09-2023
Product_42,Max Product_42,Toys,409.26,612,250467.12,2.47,0.14,Seller_D,42,07-11-2023
Product_43,Ultra Product_43,Toys,455.81,792,361001.52,4.46,0.01,Seller_E,43,13-04-2023
Product_44,Eco Product_44,Toys,58.4,323,18863.2,4.74,0.15,Seller_A,44,12-04-2023
Product_45,Eco Product_45,Sports,199.9,915,182908.5,1.12,0.02,Seller_A,45,04-09-2023
Product_46,Super Product_46,Books,57.95,554,32104.3,2.75,0.02,Seller_E,46,02-11-2023
Product_47,Super Product_47,Sports,363.8,35,12733,2.21,0.01,Seller_D,47,02-11-2023
Product_48,Ultra Product_48,Clothing,142.03,208,29542.24,3.43,0,Seller_C,48,22-03-2023
Product_49,Pro Product_49,Automotive,225.47,549,123783.03,3.54,0.14,Seller_A,49,21-10-2023
Product_50,Ultra Product_50,Toys,264.99,145,38423.55,2.55,0.14,Seller_E,50,26-01-2023
Product_51,Ultra Product_51,Books,287.53,432,124212.96,4.67,0.13,Seller_C,51,04-04-2023
Product_52,Super Product_52,Toys,412.09,521,214698.89,3.97,0.15,Seller_B,52,25-05-2023
Product_53,Max Product_53,Electronics,236.85,391,92608.35,3.93,0.24,Seller_C,53,11-02-2023
Product_54,Eco Product_54,Toys,364.57,804,293114.28,4.78,0.22,Seller_D,54,06-01-2023
Product_55,Pro Product_55,Home & Kitchen,390.42,151,58953.42,2.22,0.14,Seller_B,55,06-12-2023
Product_56,Max Product_56,Sports,481.45,280,134806,4.67,0.1,Seller_B,56,05-12-2023
Product_57,Pro Product_57,Toys,171.7,540,92718,1.18,0.24,Seller_E,57,19-02-2023
Product_58,Eco Product_58,Sports,152.2,26,3957.2,4.53,0.2,Seller_D,58,20-11-2023
Product_59,Max Product_59,Toys,70,836,58520,2.89,0.05,Seller_E,59,26-05-2023
Product_60,Pro Product_60,Toys,386.87,694,268487.78,1.63,0,Seller_C,60,31-08-2023
Product_61,Pro Product_61,Electronics,477.79,292,139514.68,4.6,0.14,Seller_C,61,04-06-2023
Product_62,Super Product_62,Toys,475.26,618,293710.68,2.69,0.2,Seller_A,62,26-05-2023
Product_63,Ultra Product_63,Automotive,44.17,790,34894.3,2.28,0.08,Seller_B,63,27-06-2023
Product_64,Pro Product_64,Clothing,362.98,371,134665.58,3.8,0.05,Seller_B,64,23-04-2023
Product_65,Max Product_65,Automotive,491.53,364,178916.92,4.54,0.08,Seller_D,65,22-02-2023
Product_66,Pro Product_66,Toys,362.15,601,217652.15,1.03,0.01,Seller_A,66,17-06-2023
Product_67,Ultra Product_67,Automotive,369.69,695,256934.55,2.58,0.15,Seller_B,67,02-08-2023
Product_68,Max Product_68,Clothing,476.18,556,264756.08,3.84,0.21,Seller_D,68,12-02-2023
Product_69,Pro Product_69,Electronics,93.75,641,60093.75,2.88,0.29,Seller_B,69,25-09-2023
Product_70,Super Product_70,Home & Kitchen,239.73,777,186270.21,4.27,0.27,Seller_C,70,12-09-2023
Product_71,Super Product_71,Electronics,340.71,717,244289.07,4.2,0.24,Seller_B,71,20-09-2023
Product_72,Pro Product_72,Automotive,472.75,380,179645,3.18,0.14,Seller_A,72,25-04-2023
Product_73,Max Product_73,Home & Kitchen,486.94,332,161664.08,4.82,0.18,Seller_B,73,31-08-2023
Product_74,Super Product_74,Books,133.74,540,72219.6,3.24,0.21,Seller_C,74,30-05-2023
Product_75,Max Product_75,Home & Kitchen,219,444,97236,3.7,0.01,Seller_C,75,15-06-2023
Product_76,Max Product_76,Toys,456.13,889,405499.57,2.59,0.25,Seller_C,76,27-07-2023
Product_77,Max Product_77,Books,155.6,383,59594.8,3.8,0.17,Seller_E,77,22-05-2023
Product_78,Max Product_78,Electronics,32.36,449,14529.64,4.08,0.13,Seller_B,78,04-07-2023
Product_79,Super Product_79,Automotive,102.64,715,73387.6,4.46,0.1,Seller_E,79,19-02-2023
Product_80,Eco Product_80,Sports,492.05,614,302118.7,4.09,0.27,Seller_B,80,16-08-2023
Product_81,Pro Product_81,Books,340.92,116,39546.72,4.87,0.25,Seller_E,81,10-03-2023
Product_82,Pro Product_82,Beauty,245.3,741,181767.3,2.21,0.06,Seller_E,82,22-05-2023
Product_83,Ultra Product_83,Home & Kitchen,199.43,301,60028.43,4.15,0.23,Seller_B,83,10-02-2023
